,Lousic C.K.,Dave Chappelle,Ricky Gervais,Bo Burham,Bill Burr,Jim Jefferies,John Mulaney,Hasan Minhaj,Ali Wong,Anthony Jeselnik,Mike Birbiglia,Joe Rogan
aircraft,0,1,0,0,1,0,0,0,0,0,0,0
airline,0,0,0,0,2,0,0,0,0,0,1,0
airplane,0,0,0,0,0,0,1,0,0,0,1,0
airport,0,2,0,0,0,5,0,2,0,0,5,0
airsea,0,0,1,0,0,0,0,0,0,0,0,0
airway,0,0,0,0,0,2,0,0,0,0,0,0
aisha,0,0,0,0,0,0,0,8,0,0,0,0
aisle,0,1,0,0,0,0,2,1,0,0,0,0
akbar,0,0,0,0,0,0,0,1,0,0,0,0
al,0,1,0,0,0,0,1,0,0,0,0,0
alarm,0,1,0,1,0,0,0,0,0,0,0,0
alarmingly,0,0,0,0,0,0,0,0,1,0,0,0
albany,0,0,0,0,1,0,0,0,0,0,0,0
album,0,0,1,0,1,0,1,0,0,0,0,0
alchemist,0,1,0,0,0,0,0,0,0,0,0,0
alcohol,0,0,0,0,0,0,0,0,0,1,0,0
alert,0,0,0,0,0,0,0,0,1,1,0,0
alex,0,0,0,0,0,0,0,0,0,0,1,0
ali,0,0,0,0,0,0,0,0,6,0,0,0
alice,0,0,0,0,0,0,0,3,0,0,0,0
alien,0,0,0,1,0,0,1,0,0,0,2,0
alienate,0,0,1,0,0,0,1,0,0,0,0,0
alike,0,0,0,0,0,1,0,0,0,0,0,1
alist,0,0,0,0,0,0,0,1,0,0,0,0
alive,3,0,4,2,2,0,0,0,0,0,2,3
allan,0,0,0,0,0,0,0,0,0,2,0,0
allegation,0,2,0,0,0,0,0,0,0,0,0,0
alleged,0,1,0,0,0,0,0,0,0,0,0,0
allergic,0,0,3,0,0,0,0,0,0,0,0,0
allergy,3,0,6,1,0,0,0,0,0,0,0,0
alleviate,0,0,1,0,0,0,0,0,0,0,0,0
allmy,1,0,0,0,0,0,0,0,0,0,0,0
allout,0,0,0,0,0,0,0,0,0,0,1,0
allow,0,0,1,0,0,7,3,0,0,0,0,0
allwhite,0,0,0,0,1,0,0,0,0,0,0,0
ally,0,0,0,0,0,0,0,0,0,0,1,0
almond,0,0,0,1,0,0,0,0,0,0,0,0
alopecia,0,0,1,0,0,0,0,0,0,0,0,0
alpha,0,0,0,0,0,0,4,0,0,0,0,0
alphabet,0,0,0,0,0,0,0,5,0,0,0,0
alphabetical,0,0,0,0,0,0,0,0,0,0,1,0
alqaeda,0,0,0,0,0,0,0,0,0,0,3,0
alright,0,0,0,7,0,0,0,9,0,0,0,0
altar,0,0,0,0,0,0,7,0,0,0,1,0
alternative,1,0,0,0,0,0,0,0,0,0,0,0
altight,0,0,0,1,0,0,0,0,0,0,0,0
alumnus,0,0,0,0,0,0,1,0,0,0,0,0
ama,1,0,0,0,0,0,0,0,0,0,0,0
amanda,0,0,0,0,0,0,0,0,0,0,7,0
amazed,0,1,0,0,0,0,0,0,0,0,0,0
amazing,5,1,5,2,1,1,0,3,1,2,1,1
amazoncom,0,0,0,0,0,0,1,0,0,0,0,0
ambien,0,0,0,0,0,0,0,0,1,0,0,0
amendment,0,0,0,0,0,7,0,0,0,0,0,0
america,3,6,2,1,0,8,3,5,1,2,1,5
american,0,11,0,0,2,14,1,5,0,0,0,2
aminor,0,0,0,1,0,0,0,0,0,0,0,0
amish,0,0,0,1,0,0,0,0,0,0,0,0
ammo,0,0,0,0,0,0,0,0,0,0,0,1
ammunition,0,0,0,0,0,0,0,0,0,0,0,1
amusing,0,0,1,0,0,0,0,0,0,0,0,0
anal,0,0,0,0,0,3,0,0,4,0,0,0
analogy,0,1,0,0,0,0,0,0,0,0,3,0
analyse,0,0,0,1,0,0,0,0,0,0,0,0
analysis,0,0,0,1,0,0,0,0,0,0,0,0
analytical,0,0,0,1,0,0,0,0,0,0,0,0
ancestor,0,0,1,0,0,0,0,0,0,0,0,0
anchor,0,0,0,0,0,0,1,0,0,0,1,0
ancient,1,0,0,0,0,0,0,0,0,0,0,0
anderson,0,0,0,0,0,0,0,1,1,0,0,0
andy,0,0,0,12,0,0,0,0,0,0,20,0
andyou,1,0,0,0,0,0,0,0,0,0,0,0
anecdote,0,0,0,0,1,0,0,0,0,0,0,0
angel,0,0,0,0,1,0,0,0,0,0,0,0
angele,0,1,0,1,2,1,0,0,1,1,4,0
angelina,0,0,0,0,0,1,0,1,0,0,0,0
anger,1,0,1,0,0,0,0,1,0,0,0,0
angle,0,0,0,0,0,0,0,0,0,0,2,0
angry,1,1,1,0,0,4,2,0,2,0,5,0
animal,2,1,5,0,4,1,0,0,1,0,0,0
animalistic,0,0,0,1,0,0,0,0,0,0,0,0
animosity,0,0,0,0,0,0,1,0,0,0,0,0
animé,0,0,0,0,0,0,0,1,0,0,0,0
ankle,0,0,0,1,1,0,0,0,0,0,0,0
anna,1,0,0,0,0,0,1,0,0,0,0,0
anniversary,0,0,0,0,0,0,0,1,0,0,0,0
announcement,0,0,0,0,0,0,1,0,0,0,0,0
annoy,0,0,3,0,1,1,0,0,0,0,0,0
annoying,0,0,0,1,0,0,0,0,1,0,0,0
annual,0,0,1,0,0,0,0,0,0,0,0,0
answer,0,2,3,1,2,6,3,1,0,0,3,5
ant,0,0,0,0,3,0,0,0,0,0,0,0
anthem,0,0,0,0,0,0,0,0,0,0,1,0
anthony,0,0,0,0,0,0,0,0,0,27,0,0
anthropologist,0,0,0,0,0,0,1,0,0,0,0,0
anti,0,0,2,0,0,0,0,0,0,0,0,0
anticonsequence,0,1,0,0,0,0,0,0,0,0,0,0
antigun,0,0,0,0,0,1,0,0,0,0,0,0
antique,0,0,1,0,0,0,0,0,0,0,0,0
antisemite,0,0,0,0,1,0,0,0,0,0,0,0
anus,1,0,0,0,0,1,0,0,0,0,0,0
anxiety,0,0,0,0,0,0,0,0,0,0,0,1
anybody,3,1,0,0,9,0,0,1,0,2,2,6
anymore,1,0,1,1,4,6,4,0,10,2,4,0
anytime,2,0,0,0,1,0,0,0,0,0,0,0
anyways,0,0,0,1,0,0,0,0,0,0,0,0
ap,0,0,0,0,0,0,0,3,0,0,0,0
apart,2,0,1,1,0,0,0,0,0,1,1,0
apartment,0,0,0,0,0,1,5,1,0,1,5,0
ape,0,0,3,0,0,0,0,0,0,0,0,0
apologize,0,0,0,0,3,0,1,0,0,0,0,0
app,0,0,0,0,0,0,0,1,0,0,0,0
appalling,0,1,0,0,0,0,0,0,0,0,0,0
apparently,0,0,0,0,0,0,0,0,0,0,1,0
appeal,0,0,0,1,0,0,0,0,0,0,0,0
appear,0,1,0,0,0,0,0,0,0,0,0,0
appearance,0,0,0,0,0,0,0,0,0,0,1,0
appease,0,1,0,0,0,0,0,1,0,0,0,0
appetite,0,0,0,0,0,0,1,0,0,0,0,0
applaud,3,0,0,0,0,0,1,0,0,0,0,0
applause,2,0,0,2,0,0,0,0,0,0,0,0
apple,1,0,0,0,0,0,0,0,0,0,0,0
applicable,0,0,1,0,0,0,0,0,0,0,0,0
apply,0,0,0,1,0,0,0,0,0,0,0,0
appointment,0,0,0,1,0,0,0,0,3,0,0,0
appreciate,3,0,0,0,0,6,1,0,1,0,0,2
approach,0,0,1,0,0,0,0,0,0,0,1,0
approve,0,0,0,0,0,0,1,0,0,0,1,0
april,0,0,0,0,0,6,0,0,0,0,0,0
aqua,0,0,0,0,0,0,0,0,0,0,0,1
aquarium,2,0,0,0,0,0,0,0,0,0,0,0
arab,0,0,0,0,0,0,0,1,0,0,0,0
arabian,0,1,0,0,0,0,0,0,0,0,0,0
arbitrary,0,0,0,0,1,0,0,0,0,0,0,0
arch,0,0,0,0,0,0,1,0,0,0,0,0
archaic,0,0,0,0,0,0,0,0,0,0,1,0
archnemesis,0,0,0,0,0,0,0,0,1,0,0,0
arden,0,0,0,0,0,0,0,1,0,0,0,0
area,1,2,1,0,1,0,0,1,0,0,1,1
argh,0,0,0,0,0,1,0,0,0,0,0,0
arguably,0,0,0,0,1,0,0,0,0,0,0,0
argue,0,0,2,2,0,0,2,2,0,0,6,0
argument,1,1,3,0,2,8,0,0,0,0,12,0
arizona,1,0,0,0,0,0,0,0,0,0,0,0
arm,0,1,2,3,2,1,5,4,0,0,0,1
armed,0,1,0,0,0,1,1,0,0,0,0,0
arminarm,0,0,0,0,0,0,1,0,0,0,0,0
army,0,0,1,0,0,0,0,0,0,0,0,0
arrange,0,1,0,0,0,0,0,0,0,0,0,0
arrangement,0,0,0,0,0,0,1,0,0,0,0,0
arrest,0,3,0,1,0,2,1,0,0,0,0,0
arri,0,0,0,0,0,0,0,0,0,0,1,0
arrive,0,0,2,1,0,0,1,0,0,0,2,0
arrogant,0,0,0,3,2,0,0,0,0,0,0,0
arse,0,0,1,0,0,0,0,0,0,0,0,0
arsenio,0,0,0,0,0,0,1,0,0,0,0,0
art,0,0,0,4,0,0,0,0,0,1,1,0
arthur,0,0,0,0,0,1,0,0,0,0,0,0
article,0,1,0,0,0,0,0,0,0,0,3,0
articulati,0,0,0,1,0,0,0,0,0,0,0,0
artillery,0,0,0,0,0,0,0,0,0,0,1,0
artist,0,0,0,1,0,0,0,0,0,0,0,0
artistic,0,0,0,1,0,0,0,0,0,0,0,0
ashamed,0,0,0,0,0,0,0,0,0,1,2,0
asia,0,1,0,0,0,0,0,0,1,0,0,0
asian,0,7,0,0,0,2,0,0,14,0,0,0
asianamerican,0,0,0,0,0,0,0,0,3,0,0,0
aside,0,0,0,0,0,0,0,1,0,1,1,0
ask,3,4,9,0,9,0,7,10,5,12,5,3
asleep,0,0,0,1,1,1,1,0,0,0,1,0
aspect,0,0,1,0,1,0,0,0,0,0,0,0
asperger,0,0,0,0,0,1,0,0,0,0,0,0
ass,4,1,3,0,4,19,5,0,8,0,1,8
assassination,0,1,0,0,0,0,1,0,0,0,0,0
assault,0,0,0,0,0,1,0,0,0,0,0,0
assess,0,0,0,0,1,0,0,0,0,0,0,0
asshole,6,1,0,2,0,2,2,0,0,1,0,4
assist,0,0,0,0,0,0,0,0,1,0,0,0
assistance,0,0,0,0,0,1,0,0,0,0,0,0
assistant,0,0,0,0,0,0,2,0,0,0,0,0
assslappe,0,0,0,0,1,0,0,0,0,0,0,0
assume,0,1,1,0,0,4,1,0,0,1,2,1
assure,0,0,0,1,0,0,0,0,0,0,0,0
astronaut,0,0,0,0,0,0,0,1,0,1,0,0
atari,0,0,0,0,0,0,0,0,1,0,0,0
atheism,0,0,1,0,0,0,0,0,0,0,0,0
atheist,0,0,6,1,0,1,0,1,0,0,0,0
athlete,0,1,0,0,1,0,0,0,0,0,0,0
athletic,0,0,0,0,0,0,0,0,0,0,0,1
atlanta,0,0,0,0,5,0,0,0,1,0,0,0
atlantic,0,0,2,0,0,0,0,0,0,0,0,0
atm,0,0,0,0,0,2,0,0,1,0,0,0
atmosphere,0,0,0,0,1,0,0,0,0,0,0,0
atomic,0,1,0,0,0,0,0,0,0,0,0,0
atrocity,0,0,0,0,0,0,0,0,0,0,1,0
att,0,0,0,0,0,0,0,0,0,0,0,1
attach,0,0,0,0,0,0,0,0,1,0,1,0
attack,0,1,2,0,0,0,0,4,1,2,0,3
attempt,0,1,0,0,1,0,0,0,0,0,0,0
attend,0,0,0,0,0,0,0,0,1,0,1,0
attendant,0,0,0,0,0,0,0,0,0,0,1,0
attention,0,1,0,0,2,0,0,0,0,1,1,1
attentive,1,0,0,0,0,0,0,0,0,0,0,0
attitude,0,0,1,0,0,0,0,0,0,0,0,0
attract,0,0,0,0,0,0,0,0,0,0,1,0
attractant,0,0,0,0,0,0,0,0,0,0,0,1
attractive,0,0,0,0,0,0,0,0,0,0,1,0
attractor,0,0,0,0,0,0,0,0,0,0,0,1
audacity,0,0,0,0,0,0,0,2,0,0,0,0
audible,0,0,0,0,0,0,0,1,0,0,0,0
audience,0,2,2,2,0,0,2,0,1,1,0,0
audition,0,0,0,0,0,2,0,5,0,0,0,1
august,0,0,0,0,0,0,1,1,0,0,0,0
auntie,0,0,2,0,0,0,0,0,0,0,0,0
aunty,0,0,0,0,0,0,0,3,0,0,0,0
aurora,0,0,0,0,0,0,0,0,0,3,0,0
australia,0,0,0,0,0,10,0,0,0,0,0,0
australian,0,0,0,0,0,6,0,0,0,0,0,0
authentic,0,0,0,0,0,1,0,0,2,0,0,0
author,0,0,0,0,0,0,0,0,0,0,0,1
authority,0,0,2,0,0,0,0,0,0,0,0,0
automatic,0,0,0,0,0,0,0,0,1,0,0,0
automatically,0,0,1,0,0,0,0,0,0,0,0,0
autopsy,0,0,0,0,0,0,0,0,0,2,0,0
available,1,0,0,0,0,1,0,0,0,0,1,0
avatar,0,0,0,0,0,0,0,1,0,0,0,0
avenue,0,0,0,0,0,0,1,1,0,0,0,0
average,0,0,5,0,0,1,0,0,0,0,0,1
avery,0,2,0,0,0,0,0,0,0,0,0,0
avi,0,0,0,0,0,0,0,0,1,0,0,0
avoid,0,1,0,0,0,0,1,0,0,0,0,0
aw,1,0,0,0,0,1,3,0,0,0,0,1
awake,0,0,0,0,0,0,1,0,0,1,0,0
award,0,0,1,0,0,0,1,0,0,0,0,1
aware,3,0,0,5,0,0,0,0,0,0,0,0
awareness,0,1,0,0,0,0,0,0,0,0,0,0
away,4,5,4,3,8,13,7,2,5,5,12,5
awesome,0,0,0,0,3,3,0,0,0,1,1,1
awful,3,0,0,0,2,0,1,0,0,3,1,1
awkward,0,0,1,1,0,0,0,0,0,0,0,0
awkwardly,1,0,0,0,0,0,0,0,0,0,0,0
aww,2,0,0,1,0,0,0,0,0,0,0,0
axe,0,0,0,0,1,0,0,0,0,0,0,0
ayahuasca,0,0,0,0,0,0,0,0,1,0,0,0
ba,0,0,1,0,0,0,0,0,0,0,0,0
baa,1,0,0,0,0,0,0,0,0,0,0,0
babe,0,0,0,0,0,0,0,1,0,0,0,0
baboon,0,0,0,1,0,0,0,0,0,0,0,0
baby,2,0,8,2,3,16,16,2,11,16,3,6
babysitte,0,0,0,0,0,0,0,0,0,1,0,0
bachelorette,0,0,0,0,0,0,0,0,0,0,3,0
backbone,0,0,0,0,0,0,1,0,0,0,0,0
backfire,0,0,0,0,0,0,0,0,1,0,0,0
backgammon,0,0,0,1,0,0,0,0,0,0,0,0
background,0,0,0,0,0,0,0,0,0,0,0,3
backlash,0,0,1,0,0,0,0,0,0,0,0,0
backlit,0,0,0,0,0,0,0,1,0,0,0,0
backpack,0,0,0,0,0,0,0,3,1,0,0,0
backsplash,0,0,0,0,0,0,1,0,0,0,0,0
backstage,0,1,0,0,0,0,0,0,0,1,0,0
backtofront,0,0,0,0,0,1,0,0,0,0,0,0
backup,0,0,0,0,1,1,0,0,0,0,1,0
backyard,0,0,0,0,0,0,2,0,0,0,0,0
bacon,3,0,0,0,0,0,0,0,0,0,0,0
bacteria,0,0,0,0,0,0,0,0,1,0,0,0
bad,21,9,23,1,7,3,8,4,7,13,12,4
badass,0,0,0,0,0,0,0,0,0,1,0,0
badly,1,0,1,1,0,0,2,0,0,0,2,0
bag,5,0,1,0,0,6,0,0,0,0,0,1
bagel,0,0,0,0,0,0,0,0,0,0,1,0
bait,0,0,1,0,0,0,0,0,0,0,0,0
bake,0,0,0,0,1,0,0,0,0,0,0,0
balance,0,0,0,0,0,0,0,1,0,0,0,2
balanced,0,0,0,0,1,0,0,0,0,0,0,0
bald,0,0,4,0,0,0,0,1,1,0,0,0
ball,2,0,3,0,6,1,1,1,0,0,1,0
ballad,0,0,0,0,1,0,0,0,0,0,0,0
ballet,0,0,1,0,0,0,0,0,1,0,0,0
ballgame,0,0,0,0,1,0,0,0,0,0,0,0
balloon,0,0,2,0,1,0,0,0,0,0,0,0
ballroom,0,0,0,0,0,0,11,0,0,0,0,0
bam,0,1,0,0,1,0,0,1,0,0,0,0
bamboozle,0,0,0,0,0,0,0,0,2,0,0,0
ban,0,0,1,0,0,4,0,0,1,1,0,0
banal,0,0,1,0,0,0,0,0,0,0,0,0
banana,0,0,0,0,0,0,1,1,2,0,0,2
band,0,1,0,1,0,3,0,0,0,0,0,0
bang,0,0,0,0,1,1,0,0,0,0,0,3
bank,1,0,0,0,0,0,2,0,1,1,1,0
banker,0,0,0,0,1,0,0,0,0,0,0,1
bankrupt,0,0,0,0,0,0,0,0,0,1,0,0
bar,0,2,0,1,1,2,0,1,0,2,4,1
barbecue,0,0,0,0,0,1,0,0,0,0,0,0
barbershop,0,0,0,0,0,0,0,1,0,0,0,0
barbie,0,0,0,0,0,0,0,0,0,3,0,0
barely,0,0,0,0,1,0,0,2,0,1,0,1
bark,0,0,0,0,2,0,1,0,0,0,0,0
barrier,0,0,1,0,1,0,0,0,0,0,0,0
barry,0,0,1,0,0,0,0,0,0,0,0,0
barrymore,0,0,0,0,0,0,0,0,0,0,1,0
base,0,0,0,2,1,1,1,0,0,0,4,0
baseball,0,0,1,0,2,0,0,0,0,1,0,0
bash,0,0,0,1,0,0,0,0,0,0,0,0
basic,2,0,0,0,1,0,0,0,0,0,0,0
basically,2,0,0,1,8,2,0,1,3,0,1,0
basis,0,0,0,0,2,0,0,0,2,1,0,1
basketball,0,0,0,0,0,0,0,1,0,0,2,0
bastard,0,0,0,0,0,2,1,0,0,1,0,0
bastion,0,0,0,0,0,0,0,0,0,0,1,0
bat,0,0,0,0,0,0,1,0,0,0,0,0
bath,0,0,6,0,0,0,0,0,0,0,0,0
bathroom,2,0,0,0,0,4,0,3,2,0,1,1
batman,0,0,0,0,0,0,0,4,0,1,0,0
batshit,0,0,0,0,0,0,0,0,0,1,0,0
battery,0,0,0,0,1,0,0,0,0,0,0,0
battle,0,0,0,0,1,0,1,0,0,0,0,0
bauer,0,0,0,0,0,0,0,1,0,0,0,0
bazetti,0,0,0,0,0,0,0,0,0,0,3,0
bb,0,0,0,0,3,0,0,0,0,0,0,0
beach,0,0,1,0,3,0,2,0,0,0,1,0
beak,0,0,0,0,1,0,0,0,0,0,0,0
beam,0,0,1,0,0,0,0,0,0,0,0,0
bear,0,7,12,1,4,3,1,1,1,2,0,8
beard,0,0,0,0,1,0,0,0,1,0,0,0
bearded,0,0,0,0,1,0,0,0,0,0,0,0
beast,0,0,1,0,0,0,0,0,0,0,0,0
beat,0,5,1,3,2,1,1,1,0,2,1,3
beater,0,0,0,0,1,0,0,0,0,0,0,0
beautiful,1,1,4,8,0,0,3,4,2,2,1,7
beauty,0,0,0,1,0,0,0,0,0,0,0,1
bed,1,1,1,3,9,1,1,0,2,0,1,6
bedbug,0,0,1,0,0,0,0,0,0,0,0,0
bedroom,0,0,0,0,0,0,1,0,1,0,0,0
bedside,0,0,0,0,0,1,0,0,0,0,0,0
bee,0,0,0,0,0,0,0,4,0,0,0,0
beef,0,1,0,0,0,0,1,2,0,0,0,0
beeline,0,0,1,0,0,0,0,0,0,0,0,0
beena,0,0,0,0,0,0,0,1,0,0,0,0
beep,4,1,0,0,0,0,0,0,0,0,0,0
beer,0,0,1,0,3,0,1,0,0,0,2,0
beetle,0,0,0,0,0,1,0,0,0,0,0,0
begin,0,0,0,1,0,1,3,0,0,0,0,0
beginning,0,0,1,1,0,0,1,0,0,0,0,0
beh,1,0,0,0,0,0,0,0,0,0,0,0
behalf,0,0,0,0,0,0,1,0,0,0,0,0
behave,1,0,0,0,0,1,0,0,0,0,0,0
behavior,0,1,1,0,0,0,0,0,0,0,1,0
belief,0,0,0,0,0,1,0,0,0,0,0,0
believe,5,11,6,4,13,3,1,7,4,5,15,7
bell,0,0,0,0,0,0,1,1,0,0,0,0
belly,0,0,0,0,2,0,0,0,0,0,0,0
belt,0,0,0,0,0,3,1,0,0,0,3,0
ben,0,0,0,0,0,0,0,2,0,0,0,0
bench,1,0,0,0,0,0,0,0,0,0,0,0
bender,0,0,1,1,0,0,0,0,0,0,0,0
benefit,0,3,0,0,1,0,0,0,0,1,0,0
bent,0,0,0,0,0,0,0,0,0,0,0,1
berate,0,0,0,0,0,0,0,0,1,0,0,0
berkeley,0,0,0,0,0,0,0,1,0,0,0,0
bermuda,0,0,0,0,0,0,0,0,0,0,4,0
bernie,0,1,0,0,0,0,0,0,0,0,0,2
bet,0,0,2,0,1,0,1,1,0,0,0,4
bethany,0,0,0,0,0,0,0,13,0,0,0,0
betray,0,0,0,0,0,0,0,1,0,1,0,0
betrothed,0,0,0,0,0,0,1,0,0,0,0,0
beverage,0,0,0,0,0,1,0,0,0,0,0,0
beverly,0,1,0,0,0,0,0,0,0,0,0,0
bewildering,0,0,0,0,0,0,0,0,0,0,1,0
beyoncé,0,1,0,0,0,0,0,0,1,0,0,0
bhai,0,0,0,0,0,0,0,10,0,0,0,0
biatch,0,1,0,0,0,0,0,0,0,0,0,0
bible,0,0,1,1,0,0,0,0,0,5,0,2
biblical,0,1,0,0,1,0,0,0,0,0,0,0
bicker,0,0,0,1,0,0,0,0,0,0,0,0
bicoastal,0,0,0,0,1,0,0,0,0,0,0,0
bieber,0,0,0,1,0,0,0,0,0,0,0,0
biff,0,0,0,0,0,0,1,0,0,0,0,0
big,2,2,21,1,8,13,15,18,5,3,4,8
bigass,0,0,0,0,0,0,3,0,1,0,0,0
bigfoot,0,1,0,0,0,0,0,0,0,0,0,0
biggie,0,0,0,0,0,0,0,0,1,0,0,0
biggingup,0,0,0,0,0,1,0,0,0,0,0,0
bigot,0,0,2,0,0,0,0,1,0,0,0,0
bigote,0,0,0,0,0,0,0,2,0,0,0,0
bigotry,0,0,0,0,0,0,0,2,0,0,0,0
biju,0,0,0,0,0,0,0,2,0,0,0,0
